community_id,total_doctors_in_community,total_orgs_in_community,total_shared_doctors_in_community,zip,cty,st,lat,long
317,3252,47,227,35758,MADISON,AL,34.715065,-86.73964
318,4306,154,482,61614,PEORIA,IL,40.755343,-89.59799
319,1844,86,147,96813,HONOLULU,HI,21.313033,-157.85615
320,1105,60,84,19115,PHILADELPHIA,PA,40.09261,-75.04118
321,13,3,8,33065,CORAL SPRINGS,FL,26.272608,-80.25589
322,5,3,3,94010,BURLINGAME,CA,37.574936,-122.36332
323,3,2,3,84414,NORTH OGDEN,UT,41.314075,-111.96366
324,976,51,110,28301,FAYETTEVILLE,NC,35.042389,-78.84124
325,222,26,56,02904,PROVIDENCE,RI,41.859199,-71.43142
326,349,68,76,11563,LYNBROOK,NY,40.656974,-73.67306
327,1134,57,91,41101,ASHLAND,KY,38.473961,-82.64532
328,3620,89,379,12203,ALBANY,NY,42.678112,-73.82983
329,18,10,6,75028,FLOWER MOUND,TX,33.033214,-97.05965
330,953,74,103,34243,SARASOTA,FL,27.407657,-82.52923
331,2,2,2,48503,FLINT,MI,43.011227,-83.69291
332,2,2,2,32825,ORLANDO,FL,28.543248,-81.2456
333,501,33,122,98221,ANACORTES,WA,48.495234,-122.61976
334,2076,39,138,43212,COLUMBUS,OH,39.988114,-83.04268
335,3759,151,593,43567,WAUSEON,OH,41.5615,-84.15574
336,326,52,84,72958,WALDRON,AR,34.907335,-94.13624
337,4,2,1,60527,WILLOWBROOK,IL,41.839679,-88.088716
338,710,80,144,38655,OXFORD,MS,34.345016,-89.50735
339,6,3,3,75116,DUNCANVILLE,TX,32.658384,-96.91265
340,4,2,1,48082,SAINT CLAIR SHORES,MI,42.526965,-82.88809
341,7,2,1,24540,DANVILLE,VA,36.622638,-79.39998
342,570,43,89,02138,CAMBRIDGE,MA,42.379146,-71.12803
343,7,3,7,74104,TULSA,OK,36.146143,-95.95414
344,669,28,57,36117,MONTGOMERY,AL,32.373714,-86.16443
345,5,2,2,44126,FAIRVIEW PARK,OH,41.441697,-81.85738
346,1262,48,161,86001,FLAGSTAFF,AZ,35.279872,-111.72256
347,13,3,4,37909,KNOXVILLE,TN,35.947846,-84.01554
348,1849,60,98,60540,NAPERVILLE,IL,41.764779,-88.14579
349,8,2,1,13304,BARNEVELD,NY,43.242724,-75.1659
350,6,2,1,91362,THOUSAND OAKS,CA,34.190804,-118.83704
351,1807,59,216,45505,SPRINGFIELD,OH,39.91086,-83.78579
352,1217,55,118,74601,PONCA CITY,OK,36.707393,-97.10167
353,1509,54,70,87114,ALBUQUERQUE,NM,35.196446,-106.67336
354,2294,79,201,19711,NEWARK,DE,39.700561,-75.7431
355,314,29,75,16335,MEADVILLE,PA,41.637502,-80.15214
356,10,2,1,94061,REDWOOD CITY,CA,37.463911,-122.23396
357,2120,111,213,11355,FLUSHING,NY,40.749463,-73.81941
358,4,2,2,34103,NAPLES,FL,26.191117,-81.80333
359,535,38,72,90015,LOS ANGELES,CA,34.038993,-118.26516
360,385,20,57,11229,BROOKLYN,NY,40.599256,-73.94118
361,4,2,1,76063,MANSFIELD,TX,32.57701,-97.13485
362,8952,104,1173,02136,HYDE PARK,MA,42.252198,-71.12593
363,2969,23,364,53916,BEAVER DAM,WI,43.456814,-88.84058
364,4,2,2,34481,OCALA,FL,29.124611,-82.32271
365,3814,201,460,48307,ROCHESTER HILLS,MI,42.662293,-83.12781
366,15,4,6,75231,DALLAS,TX,32.874317,-96.74764
367,5,2,4,71270,RUSTON,LA,32.52476,-92.64696
368,3,2,2,78411,CORPUS CHRISTI,TX,27.733058,-97.38542
369,5,2,1,89102,LAS VEGAS,NV,36.145303,-115.18358
370,62,12,14,73096,WEATHERFORD,OK,35.527593,-98.71259
371,3,2,1,07307,JERSEY CITY,NJ,40.748001,-74.04943
372,56,17,17,78413,CORPUS CHRISTI,TX,27.687792,-97.40165
373,792,38,87,75204,DALLAS,TX,32.800333,-96.78952
374,8,2,1,54467,PLOVER,WI,44.452277,-89.54399
375,3657,117,453,43213,COLUMBUS,OH,39.966814,-82.87413
376,806,49,69,48083,TROY,MI,42.556943,-83.11506
377,605,62,128,11355,FLUSHING,NY,40.749463,-73.81941
378,262,21,90,97601,KLAMATH FALLS,OR,42.282428,-121.88447
